value_code,modality,Study Description,Chinese Study Description,Contrast,Combine Modality
RAD001,CR,Chest PA view,胸部正面,N,
RAD002,CT,Brain without contrast,腦部電腦斷層,N,
RAD003,CT,Chest with IV contrast,胸部含對比劑,Y,
RAD004,MR,Brain with contrast,腦部磁振造影含對比劑,Y,
RAD005,CR,Rt hand AP and Lateral,右手正側面,N,
RAD006,CT,Abdomen and pelvis,腹部骨盆,Y,
RAD007,MR,Lt knee without contrast,左膝磁振造影,N,
RAD008,US,Abd sonography,腹部超音波,N,
RAD009,CT,C-spine trauma,頸椎外傷,N,
RAD010,CR,L-spine AP Lat,腰椎正側面,N,
RAD011,MR,Lumbar spine,腰椎磁振造影,N,
RAD012,US,Liver,肝臟超音波,N,
RAD013,CT,Head,頭部電腦斷層,N,
RAD014,CR,Pelvis AP,骨盆正面,N,
RAD015,XA,Coronary angiography,冠狀動脈血管攝影,Y,"RF,XA"
RAD016,BMD,Spine bone density,脊椎骨質密度,N,
RAD017,CT,KUB,腎輸尿管膀胱,N,
RAD018,MR,C-spine,頸椎,N,
RAD019,CR,Both knees standing,雙膝站立,N,
RAD020,US,Kidney bilateral,雙側腎臟超音波,N,
